"Código técnico";"Formulario REM";Sección;Columna;"Nombre funcional de la variable";"Tipo de regla";Descripción;"Lógica resumida";"Fórmula Excel (técnico)";"Rango de filas";"Nivel de importancia";Estado;Fuente;"Observación para revisión";"Validado por Estadística";"Comentario Estadística"
a01_a_c_sum_equals;A01;A;C;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas F + G + H + I + J + K + L + M + N sea igual al total de la columna C (Fila 11). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(F + G + H + I + J + K + L + M + N) = Columna C";;"Fila 11";Error;Activa;"Estructura Excel";;;
a01_d_i_sum_equals;A01;D;I;"Pueblos Originarios";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 70–73). Variable: Pueblos Originarios. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 70–73";Error;Activa;"Estructura Excel";;;
a01_d_j_sum_equals;A01;D;J;Migrantes;"Suma igual al Total";"Valida que la suma de las columnas J sea igual al total de la columna J (Filas 70–73). Variable: Migrantes. De lo contrario, se marca como observación.";"Suma(J) = Columna J";;"Filas 70–73";Error;Activa;"Estructura Excel";;;
a01_d_k_sum_equals;A01;D;K;"SENAME/ Servicio Nacional de Reinserción social Juvenil";"Suma igual al Total";"Valida que la suma de las columnas K sea igual al total de la columna K (Filas 70–73). Variable: SENAME/ Servicio Nacional de Reinserción social Juvenil. De lo contrario, se marca como observación.";"Suma(K) = Columna K";;"Filas 70–73";Error;Activa;"Estructura Excel";;;
a01_d_l_sum_equals;A01;D;L;"Servicio Nacional Protección Especializada a la Niñez y Adolescencia";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L (Filas 70–73). Variable: Servicio Nacional Protección Especializada a la Niñez y Adolescencia. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;"Filas 70–73";Error;Activa;"Estructura Excel";;;
a01_e_b_sum_equals;A01;E;B;TOTAL;"Suma igual al Total";"Valida que la suma de las columnas C + D sea igual al total de la columna B (Fila 78). Variable: TOTAL. De lo contrario, se marca como observación.";"Suma(C + D) = Columna B";;"Fila 78";Error;Activa;"Estructura Excel";;;
a01_g._l_sum_equals;A01;G.;L;"Total PAP informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L (Filas 98–110). Variable: Total PAP informados en trans masculino. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;"Filas 98–110";Error;Activa;"Estructura Excel";;;
a01_g.1_l_sum_equals;A01;G.1;L;"Total PAP informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L (Filas 117–129). Variable: Total PAP informados en trans masculino. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;"Filas 117–129";Error;Activa;"Estructura Excel";;;
a01_g.2_l_sum_equals;A01;G.2;L;"Total PAP informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas L sea igual al total de la columna L (Filas 136–148). Variable: Total PAP informados en trans masculino. De lo contrario, se marca como observación.";"Suma(L) = Columna L";;"Filas 136–148";Error;Activa;"Estructura Excel";;;
a01_h._b_sum_equals;A01;H.;B;"TOTAL EXAMEN VPH CONVENCIONAL";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 155–165). Variable: TOTAL EXAMEN VPH CONVENCIONAL. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 155–165";Error;Activa;"Estructura Excel";;;
a01_h._g_sum_equals;A01;H.;G;"Total VPH informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 155–165). Variable: Total VPH informados en trans masculino. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 155–165";Error;Activa;"Estructura Excel";;;
a01_h._h_sum_equals;A01;H.;H;"Total Exámen Autotoma de VPH";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 155–165). Variable: Total Exámen Autotoma de VPH. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 155–165";Error;Activa;"Estructura Excel";;;
a01_h._m_sum_equals;A01;H.;M;"Total VPH autotoma en trans masculino informados";"Suma igual al Total";"Valida que la suma de las columnas M sea igual al total de la columna M (Filas 155–165). Variable: Total VPH autotoma en trans masculino informados. De lo contrario, se marca como observación.";"Suma(M) = Columna M";;"Filas 155–165";Error;Activa;"Estructura Excel";;;
a01_h._n_sum_equals;A01;H.;N;"Total de examenes tamizaje priorizado";"Suma igual al Total";"Valida que la suma de las columnas N sea igual al total de la columna N (Filas 155–165). Variable: Total de examenes tamizaje priorizado. De lo contrario, se marca como observación.";"Suma(N) = Columna N";;"Filas 155–165";Error;Activa;"Estructura Excel";;;
a01_h.1_b_sum_equals;A01;H.1;B;"TOTAL DE EXAMENES PROCESADOS";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 172–182). Variable: TOTAL DE EXAMENES PROCESADOS. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 172–182";Error;Activa;"Estructura Excel";;;
a01_h.1_g_sum_equals;A01;H.1;G;"Total VPH informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 172–182). Variable: Total VPH informados en trans masculino. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 172–182";Error;Activa;"Estructura Excel";;;
a01_h.1_h_sum_equals;A01;H.1;H;"Total examen VPH autotoma informado";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 172–182). Variable: Total examen VPH autotoma informado. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 172–182";Error;Activa;"Estructura Excel";;;
a01_h.1_i_sum_equals;A01;H.1;I;"Total de examenes tamizaje priorizado";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 172–182). Variable: Total de examenes tamizaje priorizado. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 172–182";Error;Activa;"Estructura Excel";;;
a01_h.2_b_sum_equals;A01;H.2;B;"TOTAL DE EXAMENES PROCESADOS";"Suma igual al Total";"Valida que la suma de las columnas B sea igual al total de la columna B (Filas 189–199). Variable: TOTAL DE EXAMENES PROCESADOS. De lo contrario, se marca como observación.";"Suma(B) = Columna B";;"Filas 189–199";Error;Activa;"Estructura Excel";;;
a01_h.2_g_sum_equals;A01;H.2;G;"Total VPH informados en trans masculino";"Suma igual al Total";"Valida que la suma de las columnas G sea igual al total de la columna G (Filas 189–199). Variable: Total VPH informados en trans masculino. De lo contrario, se marca como observación.";"Suma(G) = Columna G";;"Filas 189–199";Error;Activa;"Estructura Excel";;;
a01_h.2_h_sum_equals;A01;H.2;H;"Total examen VPH autotoma informado";"Suma igual al Total";"Valida que la suma de las columnas H sea igual al total de la columna H (Filas 189–199). Variable: Total examen VPH autotoma informado. De lo contrario, se marca como observación.";"Suma(H) = Columna H";;"Filas 189–199";Error;Activa;"Estructura Excel";;;
a01_h.2_i_sum_equals;A01;H.2;I;"Total de examenes tamizaje priorizado";"Suma igual al Total";"Valida que la suma de las columnas I sea igual al total de la columna I (Filas 189–199). Variable: Total de examenes tamizaje priorizado. De lo contrario, se marca como observación.";"Suma(I) = Columna I";;"Filas 189–199";Error;Activa;"Estructura Excel";;;
